index,ID,Date,User,Text,Language,Category,MentionedUser,Hashtag,Translation,Subjectivity,Polarity,Analysis
516,1593597037764902912,2022-11-18 13:28:36+00:00,https://twitter.com/ChadadiHabimana,@user cyahoze cyitwa gregoire kayibanda international airport nyuma guhera mu cyaje kuvugururwa gihabwa ubushobozi burenze imirimo yarangiye mu smiling face with sunglasses ,in,rac,"[User(username='RwandaAirports', id=984349801994178560, displayname='Rwanda Airports (RAC)', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,"@user, the former gregoire kayibanda international airport was later renovated and given more capacity than the work completed in smiling face with sunglasses",0.125,0.125,Positive
14800,1536029734760550400,2022-06-12 16:56:41+00:00,https://twitter.com/kyema5,@user @user @user @user turabashimiye dutegereje twihanyanye kuko muhora mutwifuriza ibyiza ,tl,wasac,"[User(username='wasac_rwanda', id=2797437306, displayname='Water and Sanitation Corporation Ltd | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RwandaInfra', id=515653771, displayname='Ministry of Infrastructure | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RwandaLocalGov', id=287538694, displayname='Ministry of Local Government | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='CityofKigali', id=299705662, displayname='City of Kigali', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user @user @user @user we thank you and look forward to it because you always wish us the best,0.3,1.0,Positive
18678,1530521786126852096,2022-05-28 12:10:04+00:00,https://twitter.com/JonasMalutu,@user out,und,rwandair,"[User(username='FlyRwandAir', id=112440529, displayname='RwandAir', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user out,0.0,0.0,Neutral
6503,1561458556188106756,2022-08-21 21:01:44+00:00,https://twitter.com/Un_beatenman,@user @user and how about nyarugunga no electricity from pm up to now ,en,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Mike44322088', id=1519019941843853312, displayname='Mike', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user @user and how about nyarugunga no electricity from pm up to now,0.0,0.0,Neutral
4722,1588178984918925312,2022-11-03 14:39:11+00:00,https://twitter.com/arsenearsely,@user mwiriwe hashize isaha irenga mu murenge wa kigarama mu karere ka kicukiro nta muriro dufite mwadufashije ,in,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user mwiwere more than an hour ago in Kigarama sector in Kikiro district we have no fire please help us,0.5,0.5,Positive
5421,1576974940473290752,2022-10-03 16:38:19+00:00,https://twitter.com/HAGUMAKUBAHOIn1,@user thx,und,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user thx,0.0,0.0,Neutral
1141,1564552416242040839,2022-08-30 09:55:38+00:00,https://twitter.com/KagaramaRwaka,@user congratulations @user thumbs up may god be with u always folded hands ,en,mininifra,"[User(username='afidele', id=301854904, displayname='ABIMANA FIDELE', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='afidele', id=301854904, displayname='ABIMANA FIDELE', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user congratulations @user thumbs up may god be with u always folded hands,0.0,0.0,Neutral
813,1515415656962924545,2022-04-16 19:43:42+00:00,https://twitter.com/Kennethmharris,@user hi i am departing nairobi to kigali next week which test should i take in kenya rapid or pcr test pls advice,en,rac,"[User(username='RwandaAirports', id=984349801994178560, displayname='Rwanda Airports (RAC)', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user hi i am departing nairobi to kigali next week which test should i take in kenya rapid or pcr test pls advice,0.0,0.0,Neutral
1891,1629569164812640259,2023-02-25 19:48:59+00:00,https://twitter.com/Sixbertu,@user ibice bimwe bya kanombe nyarugunga bibuze umuriro mwadufashaho byihuse ,tl,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user some parts of kanombe nyarugunga are missing fire please help us fast,0.325,0.0,Neutral
1578,1632792445183197184,2023-03-06 17:17:09+00:00,https://twitter.com/kamaet03,@user mwiriweho neza ko mutadusubiza umuriro hano @user mu cyakabiri hashize isaha irenga ,tl,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Muhangadis', id=1204151112, displayname='MUHANGA District', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user you sure didn't fire back on us here @user a half hour ago,0.35185185185185186,0.11111111111111112,Positive
6764,1557795487746514944,2022-08-11 18:26:01+00:00,https://twitter.com/IRGAS20,@user umuriro urimo kugenda ukongera ugaruka murebe ikibazo mufite mutaza kudutwikira ibikoresho gusa ndabona ugarutse warumaze umwanya wagiye ,tl,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user the fire is going back and forth look at the problem you are not coming to cover the material I just see you are back you have been gone for a long time,0.13333333333333333,-0.016666666666666666,Negative
2641,1614978729171882022,2023-01-16 13:31:48+00:00,https://twitter.com/Aime_Prosper,@user great to know that the situation is known and being handled folded hands medium dark skin tone folded hands medium dark skin tone ,en,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user great to know that the situation is known and being handled folded hands medium dark skin tone folded hands medium dark skin tone,0.5166666666666666,0.16666666666666666,Positive
168,1510440146289803265,2022-04-03 02:12:48+00:00,https://twitter.com/ZingiroL,@user hey tomorrow the day u will be home with kids so that i can call figure out and let know to prepare my self i lost ur watssap thnx,en,reg,"[User(username='zimuyenzi', id=502815533, displayname='Armand Zingiro', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user hey tomorrow the day u will be home with kids so that i can call figure out and let know to prepare my self i lost ur watssap thnx,0.0,0.0,Neutral
14556,1541348049502576641,2022-06-27 09:09:46+00:00,https://twitter.com/NDUWAYEZUEmma14,@user mwiriwe nagize ikibazo ahantu nkodesha kimironko abapangayi ntibishyura amazi umutekinisiye wanyu arayafunga ariko maze icyumweru muhamagara ngo aduhe compte yo kwishyuriraho amande ntanyitaba na call center yanyu naragerageje biranga mumfashe rwose,in,wasac,"[User(username='wasac_rwanda', id=2797437306, displayname='Water and Sanitation Corporation Ltd | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,"@user miwire I had a problem in my rental place, the tenants don't pay for the water, your technician shut it off, but after a week you called to give me an account to pay the fines, I didn't answer your call center, I tried, they really helped me",0.15000000000000002,0.05,Positive
14116,1551076389956337665,2022-07-24 05:26:43+00:00,https://twitter.com/NSENGIYUMVAAbd9,@user @user @user @user @user @user @user @user arko mwagiye muduha uko abantu baza kutubarira amazi uko babigenza ko harigihe mbona batwiba bakazajya baza natwe twabyibari mwaba mudufashije,in,wasac,"[User(username='wasac_rwanda', id=2797437306, displayname='Water and Sanitation Corporation Ltd | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='CityofKigali', id=299705662, displayname='City of Kigali', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Nyarugenge', id=347090087, displayname='Nyarugenge District', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Gasabo_District', id=2166715987, displayname='Gasabo District', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='KicukiroDistr', id=3805219942, displayname='Kicukiro District', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RwandaLocalGov', id=287538694, displayname='Ministry of Local Government | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RwandaInfra', id=515653771, displayname='Ministry of Infrastructure | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RURA_RWANDA', id=760939879, displayname='Rwanda Utilities Regulatory Authority - RURA', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user @user @user @user @user @user @user @user if you have been telling us how people come to charge us with water and how they do it sometimes I see that they steal from us and they will come with us to know if you will help us,0.0,0.0,Neutral
9420,1514848197990043652,2022-04-15 06:08:49+00:00,https://twitter.com/FrancoisKarang3,@user nagize ngo mwatangiye kubikurikirana kare abafite amata muri fridge n izindi products zapfuye n ibindi bikorwa birahagarara mwafasha abaturage pe kuko iri bura ry umuriro mu gihe kigeze ku ma saha kugeza ubu ryateje ibihombo byinshi ,tl,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user I said that you have already started monitoring those who have milk in the fridge and other products that are dead and other activities are stopped. Please help the people because this fire has caused a lot of losses in the last few hours.,0.2633333333333333,-0.13,Negative
10811,1495807381179088897,2022-02-21 17:07:25+00:00,https://twitter.com/uwihan_hemedy,@user cg ,und,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user cg,0.0,0.0,Neutral
13606,1566332297246302209,2022-09-04 07:48:15+00:00,https://twitter.com/mabyimaheru,@user nkiyo itiyo yamazi icika nimuze kuyikora abaturage bakaba bamaze ukwezi kose batavoma knd mudasiba guhebwa no kuza kwishyuza muba mwumva amaherezo ari ayahe kimisagara hose ntamazi muturwaneho ukwezi kurashize frowning face frowning face ,tl,wasac,"[User(username='wasac_rwanda', id=2797437306, displayname='Water and Sanitation Corporation Ltd | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,"@user like that water is broken, let's do it, the people have not watered for a whole month, so don't forget to pay for it, if you feel like it's a waste, there is no water in your neighborhood for a month, frowning face frowning face",0.26666666666666666,-0.13333333333333333,Negative
4675,1588929504759910401,2022-11-05 16:21:29+00:00,https://twitter.com/falagar112,@user hello power is off again in rukiri happens every day now can we get a more permanent fix maybe ,en,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user hello power is off again in rukiri happens every day now can we get a more permanent fix maybe,0.5,0.5,Positive
1416,1634179990165045248,2023-03-10 13:10:45+00:00,https://twitter.com/HAGUMAKUBAHOIn1,@user @user mwiriwe nyagatare umurenge wa mukama umuriro wabuze mudufashe ,in,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RubavuDistrict', id=429795251, displayname='Rubavu District', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user @user you are the king of the lost fire department help us,0.0,0.0,Neutral
5439,1576617216828923904,2022-10-02 16:56:51+00:00,https://twitter.com/pascalbizimung1,@user turabashimiye rwose ubu amatara araka umutekano wagarutse asante sana kbs ,tl,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user we really appreciate it now the safety lights are back thanks a lot kbs,0.13333333333333333,0.13333333333333333,Positive
6505,1561453347760230401,2022-08-21 20:41:03+00:00,https://twitter.com/bizimanajb1,@user turabizeye mukore iyo bwabaga,tl,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user we hope you do that,0.0,0.0,Neutral
17390,1594233559203872770,2022-11-20 07:37:54+00:00,https://twitter.com/muhawenimanael6,@user respect,en,rwandair,"[User(username='FlyRwandAir', id=112440529, displayname='RwandAir', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user respect,0.0,0.0,Neutral
13724,1559075654372581376,2022-08-15 07:12:56+00:00,https://twitter.com/NRudasingwa,@user mwadufasha kacyiru mu kanserege ko nta mazi duheruka murebe icyo mwabikoraho folded hands dark skin tone ,in,wasac,"[User(username='wasac_rwanda', id=2797437306, displayname='Water and Sanitation Corporation Ltd | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user please help us a little in the cancer that we don't have water last time see what you can do folded hands dark skin tone,0.32222222222222224,-0.1125,Negative
2219,1623363699443396609,2023-02-08 16:50:41+00:00,https://twitter.com/sixbertM6,@user mwadutabaye tukabona umuriro @user @user @user twabuze umuriro turi mukizima kdi transformat yo irawufite kuko irimo kuvuga nkifite umuriro,und,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Kamonyi', id=303631108, displayname='Kamonyi District', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RundaSector', id=2202834877, displayname='Runda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user help us get the fire,0.0,0.0,Neutral
11888,1632420671450931200,2023-03-05 16:39:51+00:00,https://twitter.com/vmugarura,@user @user contact sent in dm thanks,en,wasac,"[User(username='wasac_rwanda', id=2797437306, displayname='Water and Sanitation Corporation Ltd | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='rura', id=5998802, displayname='わたたたたた', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user @user contact sent in dm thanks,0.2,0.2,Positive
